吉林电信,#genre#
甘肃卫视,http://218.8.87.96:4000/rtp/229.58.190.185:5000
重庆卫视,http://218.8.87.96:4000/rtp/229.58.190.27:5000
兵团卫视,http://218.8.87.96:4000/rtp/229.58.190.178:5000
延边卫视,http://218.8.87.96:4000/rtp/229.58.190.108:5000
新疆卫视,http://218.8.87.96:4000/rtp/229.58.190.179:5000
西藏卫视,http://218.8.87.96:4000/rtp/229.58.190.177:5000
金鹰卡通,http://218.8.87.96:4000/rtp/229.58.190.98:5000
快乐垂钓,http://218.8.87.96:4000/rtp/229.58.190.113:5000
茶频道,http://218.8.87.96:4000/rtp/229.58.190.111:5000
上海动漫秀场,http://218.8.87.96:4000/rtp/229.58.190.78:5000
上海都市剧场,http://218.8.87.96:4000/rtp/229.58.190.85:5000
上海法治天地,http://218.8.87.96:4000/rtp/229.58.190.110:5000
上海东方财经,http://218.8.87.96:4000/rtp/229.58.190.105:5000
上海游戏风云,http://218.8.87.96:4000/rtp/229.58.190.114:5000
上海生活时尚,http://218.8.87.96:4000/rtp/229.58.190.102:5000
上海金色学堂,http://218.8.87.96:4000/rtp/229.58.190.77:5000
上海乐游,http://218.8.87.96:4000/rtp/229.58.190.106:5000
河南梨园频道,http://218.8.87.96:4000/rtp/229.58.190.152:5000
河南文物宝库,http://218.8.87.96:4000/rtp/229.58.190.167:5000
百视通热播剧场,http://218.8.87.96:4000/rtp/229.58.190.75:5000
经典剧场,http://218.8.87.96:4000/rtp/229.58.190.94:5000
CETV1,http://218.8.87.96:4000/rtp/229.58.190.57:5000
CETV2,http://218.8.87.96:4000/rtp/229.58.190.59:5000
CETV4,http://218.8.87.96:4000/rtp/229.58.190.66:5000
魅力足球,http://218.8.87.96:4000/rtp/229.58.190.112:5000
卡酷少儿,http://218.8.87.96:4000/rtp/229.58.190.186:5000
嘉佳卡通,http://218.8.87.96:4000/rtp/229.58.190.107:5000
优漫卡通,http://218.8.87.96:4000/rtp/229.58.190.165:5000
哈哈炫动,http://218.8.87.96:4000/rtp/229.58.190.96:5000
天元围棋,http://218.8.87.96:4000/rtp/229.58.190.6:5000






吉林IPTV,#genre#
CCTV1-综合,http://tpc.x3322.net:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://tpc.x3322.net:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://tpc.x3322.net:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://tpc.x3322.net:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://tpc.x3322.net:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://tpc.x3322.net:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-国防军事,http://tpc.x3322.net:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://tpc.x3322.net:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://tpc.x3322.net:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://tpc.x3322.net:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://tpc.x3322.net:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://tpc.x3322.net:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://tpc.x3322.net:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://tpc.x3322.net:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://tpc.x3322.net:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16 奥林匹克,http://tpc.x3322.net:9901/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17-农业农村,http://tpc.x3322.net:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://tpc.x3322.net:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://tpc.x3322.net:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://tpc.x3322.net:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
